topic,subject,mode,template_word_count,addendum_injected,placeholder_complete,pre_llm_validation,version_trackable,subject_specificity,info_density,prompt_text_length
Newton's First Law & Inertia,Physics,WITHOUT_PPA,87,0,1,0,0,0.2,56.32,514
Newton's Second Law & F=ma,Physics,WITHOUT_PPA,88,0,1,0,0,0.25,53.41,477
Work-Energy Theorem,Physics,WITHOUT_PPA,71,0,1,0,0,0.2,59.15,439
Prokaryotic vs Eukaryotic Cells,Biology,WITHOUT_PPA,73,0,1,0,0,0.2105,56.16,481
Light Reactions & Calvin Cycle,Biology,WITHOUT_PPA,66,0,1,0,0,0.0526,65.15,447
Mendel's Laws of Inheritance,Biology,WITHOUT_PPA,68,0,1,0,0,0.0,67.65,451
Transcription & Translation,Biology,WITHOUT_PPA,65,0,1,0,0,0.2105,69.23,465
Gibbs Free Energy & Spontaneity,Chemistry,WITHOUT_PPA,66,0,1,0,0,0.1,65.15,414
Le Chatelier's Principle,Chemistry,WITHOUT_PPA,67,0,1,0,0,0.1,62.69,466
Rate Laws & Arrhenius Equation,Chemistry,WITHOUT_PPA,69,0,1,0,0,0.0,65.22,413
Newton's First Law & Inertia,Physics,WITH_PPA,215,1,1,1,1,0.3,52.09,1378
Newton's Second Law & F=ma,Physics,WITH_PPA,217,1,1,1,1,0.35,52.07,1339
Work-Energy Theorem,Physics,WITH_PPA,197,1,1,1,1,0.3,54.31,1297
Prokaryotic vs Eukaryotic Cells,Biology,WITH_PPA,202,1,1,1,1,0.2632,50.0,1370
Light Reactions & Calvin Cycle,Biology,WITH_PPA,191,1,1,1,1,0.1579,53.93,1329
Mendel's Laws of Inheritance,Biology,WITH_PPA,194,1,1,1,1,0.1053,55.15,1323
Transcription & Translation,Biology,WITH_PPA,191,1,1,1,1,0.3158,55.5,1358
Gibbs Free Energy & Spontaneity,Chemistry,WITH_PPA,191,1,1,1,1,0.1,57.07,1327
Le Chatelier's Principle,Chemistry,WITH_PPA,193,1,1,1,1,0.15,55.44,1378
Rate Laws & Arrhenius Equation,Chemistry,WITH_PPA,195,1,1,1,1,0.05,56.92,1328
